item	itemLabel	birth_name	family_name	family_nameLabel	given_name	given_nameLabel
http://www.wikidata.org/entity/Q5236695	David Lloyd	David Rees Lloyd	http://www.wikidata.org/entity/Q1287630	Lloyd	http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5237493	David Melding				http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5237493	David Melding				http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5257685	Denise Idris Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q1193018	Denise
http://www.wikidata.org/entity/Q5346948	Edwina Hart		http://www.wikidata.org/entity/Q1587003	Hart	http://www.wikidata.org/entity/Q13424368	Edwina
http://www.wikidata.org/entity/Q5346948	Edwina Hart		http://www.wikidata.org/entity/Q1587003	Hart	http://www.wikidata.org/entity/Q13424368	Edwina
http://www.wikidata.org/entity/Q5354231	Eleanor Burnham		http://www.wikidata.org/entity/Q16865194	Burnham	http://www.wikidata.org/entity/Q988818	Eleanor
http://www.wikidata.org/entity/Q5361084	Elin Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q19833184	Elin
http://www.wikidata.org/entity/Q5522883	Gareth Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q15628901	Gareth
http://www.wikidata.org/entity/Q5660402	Kirsty Williams		http://www.wikidata.org/entity/Q1688722	Williams	http://www.wikidata.org/entity/Q3197419	Kirsty
http://www.wikidata.org/entity/Q5951262	Huw Lewis		http://www.wikidata.org/entity/Q426463	Lewis	http://www.wikidata.org/entity/Q18145318	Huw
http://www.wikidata.org/entity/Q5951262	Huw Lewis		http://www.wikidata.org/entity/Q426463	Lewis	http://www.wikidata.org/entity/Q18145318	Huw
http://www.wikidata.org/entity/Q6069080	Irene James		http://www.wikidata.org/entity/Q12188082	James	http://www.wikidata.org/entity/Q389528	Irene
http://www.wikidata.org/entity/Q6069080	Irene James		http://www.wikidata.org/entity/Q12188082	James	http://www.wikidata.org/entity/Q389528	Irene
http://www.wikidata.org/entity/Q6152128	Jane Davidson		http://www.wikidata.org/entity/Q13479473	Davidson	http://www.wikidata.org/entity/Q1682564	Jane
http://www.wikidata.org/entity/Q6152404	Jane Hutt		http://www.wikidata.org/entity/Q16870942	Hutt	http://www.wikidata.org/entity/Q1682564	Jane
http://www.wikidata.org/entity/Q6153289	Janet Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q13553631	Janet
http://www.wikidata.org/entity/Q6153592	Janet Ryder		http://www.wikidata.org/entity/Q16281067	Ryder	http://www.wikidata.org/entity/Q13553631	Janet
http://www.wikidata.org/entity/Q6153592	Janet Ryder		http://www.wikidata.org/entity/Q16281067	Ryder	http://www.wikidata.org/entity/Q13553631	Janet
http://www.wikidata.org/entity/Q6154241	Janice Gregory		http://www.wikidata.org/entity/Q1333689	Gregory	http://www.wikidata.org/entity/Q16277291	Janice
http://www.wikidata.org/entity/Q6154241	Janice Gregory		http://www.wikidata.org/entity/Q1333689	Gregory	http://www.wikidata.org/entity/Q16277291	Janice
http://www.wikidata.org/entity/Q6175921	Jeffrey Cuthbert		http://www.wikidata.org/entity/Q16865963	Cuthbert	http://www.wikidata.org/entity/Q13028078	Jeffrey
http://www.wikidata.org/entity/Q6207115	Jocelyn Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q3808609	Jocelyn
http://www.wikidata.org/entity/Q6207115	Jocelyn Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q3808609	Jocelyn
http://www.wikidata.org/entity/Q6236400	John Griffiths		http://www.wikidata.org/entity/Q263542	Griffith	http://www.wikidata.org/entity/Q4925477	John
http://www.wikidata.org/entity/Q6236400	John Griffiths		http://www.wikidata.org/entity/Q263542	Griffith	http://www.wikidata.org/entity/Q4925477	John
http://www.wikidata.org/entity/Q6297656	Joyce Watson		http://www.wikidata.org/entity/Q1184721	Watson	http://www.wikidata.org/entity/Q1089094	Joyce
http://www.wikidata.org/entity/Q6370035	Karen Sinclair		http://www.wikidata.org/entity/Q16883357	Sinclair	http://www.wikidata.org/entity/Q1221747	Karen
http://www.wikidata.org/entity/Q6519732	Leighton Andrews		http://www.wikidata.org/entity/Q2652654	Andrews	http://www.wikidata.org/entity/Q16290513	Leighton
http://www.wikidata.org/entity/Q6519732	Leighton Andrews		http://www.wikidata.org/entity/Q2652654	Andrews	http://www.wikidata.org/entity/Q16290513	Leighton
http://www.wikidata.org/entity/Q6530486	Lesley Griffiths		http://www.wikidata.org/entity/Q21508954	Griffiths	http://www.wikidata.org/entity/Q18658557	Lesley
